City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
281,abu dhabi,24.4667,54.3667,306.45,73,20,2.06,AE,1727502608
282,richards bay,-28.783,32.0377,293.41,71,66,5.56,ZA,1727502777
283,camapua,-19.5314,-54.0439,294.84,50,0,2.0,BR,1727502794
284,dhidhdhoo,6.8833,73.1,301.58,77,27,6.25,MV,1727502796
285,namtsy,62.7161,129.6658,279.87,64,22,4.69,RU,1727502797
286,el calafate,-50.3408,-72.2768,274.94,67,3,4.56,AR,1727502799
287,morehead city,34.7229,-76.726,298.72,92,100,1.79,US,1727502725
288,west island,-12.1568,96.8225,301.14,65,20,5.14,CC,1727502801
289,medina,24.4686,39.6142,308.39,8,0,3.09,SA,1727502802
290,ola,59.5833,151.2833,281.37,82,32,3.81,RU,1727502803
291,kenai,60.5544,-151.2583,279.18,81,0,0.0,US,1727502804
292,invercargill,-46.4,168.35,283.72,82,97,9.83,NZ,1727502805
293,ploudalmezeau,48.5333,-4.65,278.36,93,75,1.54,FR,1727502806
294,novodvinsk,64.4165,40.8122,288.01,71,91,7.42,RU,1727502808
295,la passe,45.5549,-0.8967,284.25,85,42,3.75,FR,1727502809
296,porto novo,6.4965,2.6036,297.17,93,88,1.75,BJ,1727502810
297,cova figueira,14.8905,-24.2934,294.21,84,92,2.46,CV,1727502811
298,plesetsk,62.708,40.2916,286.71,80,94,6.66,RU,1727502812
299,santa ana,33.7456,-117.8678,290.81,90,20,2.06,US,1727502813
300,huangmei,30.1924,116.025,304.82,50,1,3.89,CN,1727502814
301,fale old settlement,-9.3852,-171.2468,301.32,76,14,5.39,TK,1727502815
302,atafu village,-8.5421,-172.5159,301.42,77,88,5.27,TK,1727502817
303,aldan,58.6031,125.3894,275.79,75,100,3.53,RU,1727502818
304,tsiombe,-25.3,45.4833,297.6,60,91,3.43,MG,1727502819
305,bubaque,11.2833,-15.8333,299.46,85,97,4.66,GW,1727502820
306,kazerun,29.6195,51.6541,304.15,18,0,3.47,IR,1727502822
307,susangerd,31.5608,48.1831,306.94,17,0,3.22,IR,1727502823
308,coquimbo,-29.9533,-71.3436,284.0,100,100,2.57,CL,1727502824
309,anna regina,7.2644,-58.5077,300.7,78,100,3.37,GY,1727502825
310,helena valley southeast,46.6153,-111.9216,286.8,57,7,1.79,US,1727502826
311,hamilton,39.1834,-84.5333,293.71,85,84,1.34,US,1727502732
312,bechar,31.6167,-2.2167,294.33,60,0,3.09,DZ,1727502828
313,al majaridah,19.1236,41.9111,309.64,20,89,0.41,SA,1727502830
314,lorengau,-2.0226,147.2712,303.18,65,47,3.03,PG,1727502831
315,obihiro,42.9172,143.2044,295.82,73,69,4.67,JP,1727502832
316,kristinehamn,59.3098,14.1081,278.47,89,51,2.26,SE,1727502833
317,san felipe,10.3399,-68.7425,295.08,98,100,0.4,VE,1727502834
318,slave lake,55.2834,-114.769,283.14,53,20,5.66,CA,1727502835
319,bouna,9.2667,-3.0,293.79,98,71,2.04,CI,1727502836
320,mendi,-6.1761,143.6513,291.17,93,75,1.59,PG,1727502838
321,jalal-abad,40.9333,73.0,293.93,34,94,2.51,KG,1727502839
322,sarupathar,26.1984,93.8094,302.48,78,87,0.44,IN,1727502840
323,monroeville,40.4212,-79.7881,295.91,79,98,0.89,US,1727502770
324,hammerfest,70.6634,23.6821,275.4,93,63,1.54,NO,1727502843
325,macae,-22.3708,-41.7869,297.01,83,100,4.63,BR,1727502844
326,new norfolk,-42.7826,147.0587,292.99,28,65,1.35,AU,1727502845
327,hagere maryam,5.6333,38.2333,291.5,82,98,2.72,ET,1727502846
328,puerto baquerizo moreno,-0.9,-89.6,293.03,91,100,4.49,EC,1727502847
329,vilyuchinsk,52.9306,158.4028,283.3,65,9,1.04,RU,1727502848
